trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-147.21098143639531,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,0,-99.14785212971196,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-138.81378279140543,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.7261490370736909}",30,5,-51.42977697436108,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.7117703227626097}",30,3,-71.13002449459789,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-2.0076500252302933,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.6838614092123558}",30,0,-225.32131917156417,"{0: 16, 1: 5, 2: 4, 3: 1, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-80.31280618084858,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,0,-64.6962117958799,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,-22.32238432016861,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.631283645506926}",20,8,-63.90349749630628,"{0: 7, 1: 3, 2: 0, 3: 1, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,0,-33.753616879976086,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.6065306597126334}",35,0,-17.686675426218084,"{0: 28, 1: 3, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-116.3867059882582,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
